Timestamp,Initials,Article,Volume,Issue,Page,Title and Subtitle,Artist/Photographer,Engraving Company,Type,Size,Orientation,Location on Page,Identity Groups pictured and named (or can be deduced),People pictured and named (or can be deduced),Groups/Organizations/Entities pictured and named (or can be deduced),Places pictured and named (or can be deduced),Activities pictured and named (or can be deduced),Flora and Fauna pictured and named (or can be deduced),Commodities pictured and named (or can be deduced),Technology/Transportation/Infrastructure/Built Environment pictured and named (or can be deduced),Natural Environment/Climate pictured and named (or can be deduced),Themes,3-4 Main Elements,Description,Additional Notes,Further Research Required?,Required Research Notes
7/4/2013 12:08:16,,freestanding,6,6,2,A [sic] Old-Time Navajo Saddle-Blanket,n/a,L. A. Eng. Co.; Kingsley-Barnes & Neuner Col. ,photograph,,not rotate,1; 2; 3; 4; 5; 6; ,Navajo;,n/a,n/a,n/a,,na,saddle-blanket;,saddle;,n/a,Arts; crafts; Peoples; Indigenous; Race and Ethnicity; Transportation; ,,"A colorful, orange and yellow Navajo saddle-blanket is pictured on a white background.",,,
7/4/2013 19:44:24,AW,The Artist's Paradise ,6,6,232,In the Harvest-Field,D. C. McGarvin,Union Eng. Co.,photograph,,non rotated,5; 6,man; woman; race--white; class--working class,n/a,n/a,n/a,farming; harvesting,trees; grasses,produce; dress; apron; hat; ,farming equipment,sunny,Class--working class; Cultivation--agriculture; Gender; U.S Regionalism--west,agriculture; class; farming,"The photograph shows two figures, presumed to be a man and a woman, working in a harvest field.  The two are centered, the man with harvesting equipment tied to his waist and write, and the woman reaching toward a ladle. The background is sunny and full of various vegetation. ",n/a,No,
7/4/2013 19:52:11,AW,The Artist's Paradise ,6,6,233,Agua Dulce,Jas. L. Smith,"Behre, Eng. ",photograph,,not rotated,1; 2; 3; 4; 5; 6,woman; Spanish,n/a,n/a,n.a,drinking; sitting,trees,ladle; bag; dress,n/a,water; dirt; sand,Solitude; Gender--femininity; Peoples--Spanish; Nature--wilderness; Aesthetics,Gender; Solitude; water,"A woman is crouched by a pool of water, ladling it into a container. She is sitting in what looks like sand or dirt alone and is surrounded by trees. ",,No,
7/4/2013 19:58:24,AW,The Artist's Paradise ,6,6,234,From Pine,Maude,"Behre, Eng. ",photograph,,not rotated,1; 3,man; Class--working class,n/a,n/a,,building; logging; constructing,pine tree,home; logs; bucket; hat; jacket; pants; shoes,log cabin,sunny,Gender--masculinity; Class--working class; Expansionism-- settlement; Labor,construction; settlement; labor; pine,The picture shows a man holding a bucket walking toward several buildings made of pine logs. ,,No,
7/4/2013 20:01:59,AW,The Artist's Paradise ,6,6,234,To Palm (In ten miles),Maude,Commercial Eng. Co.,photograph,,not rotated,5; 6,n/a,n/a,n/a,n/a,n/a,palm trees,home; palm trees,n/a,water; grass; sun,Nature; Tranquility; Solitude; Aesthetics,palm tress; aesthetics; nature,,,No,
7/4/2013 20:10:43,AW,The Artist's Paradise ,6,6,235,"A Southwestern Type (Pueblo girl of Tesuque, N.M.)",n/a,"Mausard Collier, Eng. ",photograph,,not rotated,1; 2; 3; 4; 5; 6,Pueblo; girl,n/a,n/a,"Tesunque, N.M. ",photographing,n/a,necklace; Pueblo dress,photography studio,n/a,Peoples--Indigenous; Gender--femininity; Age--youth; Race and Ethnicity; Temporality-- comparative temporalities ,Pueblo; gender; youth; comparative temporalities,A young Pueblo woman is seated center looking directly at the camera in traditional dress. ,,No,
7/4/2013 20:17:57,AW,The Artist's Paradise ,6,6,236,"In Cataract Canyon, A.T. ","Osborn, Flagstaff",Mausard Collier Eng. Co. ,photograph,,rotate,1; 2; 3; 4; 5; 6,n/a,n/a,n/a,Cataract Canyon ,n/a,n/a,n/a,n/a,waterfall; canyon; rock; vegetation ,Nature; Solitude; Tranquility; Aesthetics ,waterfall; canyon; Nature; Aesthetics ,The photograph shows Cataract Canyon and a large waterfall. ,,No,
7/5/2013 15:08:08,AW,The Artist's Paradise ,6,6,237,A Spanish Rancho,C. F. L,Union Eng. Co.,photograph,,not rotated,1; 2; 3; 4,Spanish,n/a,n/a,the West,n/a,n/a,rancho; home; garden; fence,rancho; horticulture,sunny; dry,Peoples-Spanish; Aesthetics; Cultivation-horticulture; Expansionism-settlement; Nature-climate; Tranquility,Peoples�spanish; rancho; the �west�; Aesthetics,"The photograph captures a tranquil scene of a Spanish Rancho. The image comes on from a side view and displays a portion of landscaping, a white fence, and the architecture of the home. ",,No,
7/5/2013 15:10:36,AW,The Artist's Paradise ,6,6,237,"""Where Sheep are, is Rest""",Maude,Union Eng. Co.,photograph,,not rotated,"5; 6
",n/a,n/a,n/a,the West,animal husbandry,sheep; grass,sheep,pasture,sunny,Aesthetics; Cultivation�animal husbandry; Nature�exploitation; Solitude; Tranquility,Cultivation�animal husbandry; sheep; Aesthetics; Tranquility,"The photograph shows an open pasture filled with sheep. The scene is sunny, hilly, and peaceful. ",,No,
7/5/2013 15:14:09,AW,The Artist's Paradise ,6,6,238,The Moqui Country,Walfe,Commercial Eng. Co. ,photograph,,rotate,1; 2; 3; 4; 5; 6,Moqui; adulthood; youth,n/a,n/a,the West; the Moqui Country,donkey riding; photography,donkey,clothes; shoes; donkey,n/a,sunny; dry,Peoples�Indigenous; Age�youth; Cultivation�animal husbandry; Ethnography; Preservation�cultural; US Regionalism�West; Race and Ethnicity; Temporality�comparative temporality,Peoples�Indigenous; Moqui; West; Temporality�comparative temporalities,The photograph shows a middle-aged adult on the right with two donkeys each holding three children on their back. All wear dark clothing except for the first child on the right who is naked. All people in the image appear to be looking at the camera except for one child. ,,Yes,Clothing?
7/5/2013 15:14:08,AW,The Artist's Paradise ,6,6,238,The Moqui Country,Walfe,Commercial Eng. Co. ,photograph,,rotate,1; 2; 3; 4; 5; 6,Moqui; adulthood; youth,n/a,n/a,the West; the Moqui Country,donkey riding; photography,donkey,clothes; shoes; donkey,n/a,sunny; dry,Peoples�Indigenous; Age�youth; Cultivation�animal husbandry; Ethnography; Preservation�cultural; US Regionalism�West; Race and Ethnicity; Temporality�comparative temporality,Peoples�Indigenous; Moqui; West; Temporality�comparative temporalities,The photograph shows a middle-aged adult on the right with two donkeys each holding three children on their back. All wear dark clothing except for the first child on the right who is naked. All people in the image appear to be looking at the camera except for one child. ,,Yes,Clothing?
7/7/2013 11:48:19,AW,The California Missions,6,6,240,n/a,n.a,n/a,drawing,,not rotated ,1,n/a,n/a ,christians,n/a,religion,n/a,n/a,mission,n/a ,Religion--Christian; Expansionism; Peoples--Spanish,Religion--Christian; mission; Expansionism; Peoples--Spanish ,The picture is a small drawing of a top of a Spanish-style mission. ,,No,
7/7/2013 12:11:40,AW,The California Missions,6,6,240,"Mission San Miguel, CAL.",Chas. F. Carter,L. A. Eng. Co,drawing,,not rotated,5; 6,Christians,n/a,The Church; Spain,San Miguel [California] ,Religion,trees; grasses,n/a,Missions; roads,Hills,Religion--Christianity; US Regionalism--West; Temporality--past; Preservation--structural; Expansionism,Religion--Christianity; Temporality--past; Preservation--structural,"Carter's realistic drawing depicts the San Miguel Mission in California situated in a hilly, open environment. ",n/a,No,
7/7/2013 12:26:11,AW,The California Missions,6,6,241,"Fray Junipero Serra: From the frontispiece of Palou's ""Life,"" Mexico, 1787 ",n/a,A Eng Co,drawing,,not rotated,1; 2; 3; 4; 5; 6,Christian; men; women; Spanish; white; Indigenous ,Junipero Serra,the Church,Mexico,Religion; Conversion; Praying ,n/a,cross; religious relics,n/a,cloudy; dark; ominous,Religion--Christianity; Peoples--Indigenous; Peoples--Hispanic; Expansionism; Danger; Historicizing;  Language--Spanish; Urgency,Religion--Christianity; Peoples--Hispanic; Peoples--Indigenous; Historicizing ,"Junipero Serra stands on a rock holding a cross in one hand and a religious relic in the other. Around his feet on the rock are also a number of religious relics, including a skull. Around him are many kinds of people drawn with darker skin, presumably Indigenous peoples of Mexico. The sky is dark and ominous. ",,Yes,What are the religious relics? Why is this particular man important? 
7/7/2013 12:44:18,AW,The California Missions,6,6,242,Ruins of the Mission of San Diego ,A. C. Vroman,Mausard-Collier Eng Co,photograph,,rotate,1; 2; 3; 4; 5; 6,Christians; Indigenous Peoples; Spanish,n/a,the Church,the West,historicizing; photographing ,n/a,n/a,mission,dry; grassy,Religion--Christianity; Temporality--Comparative temporalities; Peoples--Indigenous; Peoples--Hispanic; Preservation--structural; Historicizing; Expansion ,mission; Religion--Christianity; Historicizing; Temporality--Comparative temporalities ,Centered in the picture is the Mission of San Diego starting to decay. On the right side of the picture are four dark-skinned figures standing in front of the building. ,,Yes,Where is the San Diego Mission? (San Diego?) 
7/7/2013 13:05:01,AW,The California Missions,6,6,243,La Purisma Concepcion,n/a,Mausard-Collier Eng Co.,photograph,,not rotated,1; 2,Christians,n/a,the Church,La Purisma Concepcion; California ,n/a,grasses; trees,n/a,mission,n/a,Religion-Christianity; Peoples--Hispanic; Temporality--Comparative temporalities; Preservation--structural ,mission; Temporalities--comparative temporalities; Preservation--sturctural,"The image shows the mission La Purisima Concepcion located in an open, grassy location. ",,No,
7/7/2013 13:19:22,AW,The California Missions,6,6,243,San Luis Obispo ,n/a,Mausard-Collier Eng Co,photograph,,not rotated ,5; 6,Christian,n/a,the Church,California; San Luis Obispo,n/a,trees,n/a,mission,n/a,Religion--Christianity; Peoples--Hispanic; Temporality--past; Preservation--structural; Expansion; Historicizing,mission; Historicizing; Preservation--structural; Religion--Christianity,the photograph shows the remains of the San Luis Obispo mission from a diagonal shot. ,,No,
7/7/2013 13:33:49,AW,The California Missions,6,6,244,"The Presidio of Monterey in 1792: From Vancouver's ""Voyages""",n/a,n/a,drawing,,not rotated,3; 4,n/a ,n/a,n/a,Monterey [California],animal husbandry; farming; developing,horses; trees ,home; boat; tent; horses,home; mission ,hilly; sunny,Expansionism--Settlement; Peoples--Spanish; Aesthetics; Peoples--Hispanic; Temporality--past; Historicizing,Historicizing; Temporality--past; Monterey; Expansionism--Settlement,"The image shows a picturesque image of the Presidio of Monterey with the mission in the far back, and a home toward the front. The town is surrounded by a hilly, lush landscape. ",,No,
7/7/2013 13:39:16,AW,The California Missions,6,6,245,San Luis Rey,Elmer Wachtel ,Union Eng Co,drawing ,,not rotated,3; 4,Christians,n/a,the Church,California,n/a,grasses,n/a,mission,n/a,Religion--Christianity; Preservation--structural; historicizing; Peoples--Hispanic; Temporality--past,Christianity; mission; San Luis Rey; Historicizing ,The image depicts the large mission of San Luis Rey in full form.,,No,
7/7/2013 13:49:31,AW,The California Missions,6,6,246,Santa Barbara Mission: From an old print,n/a,n/a,drawing,,not rotated,3; 4,women; men; Spanish; upper class; middle class,n/a,the Church,Santa Barbara [California],chatting; walking; horseback riding,horses,parasol; horse; clothing; hat; dress; statue,mission; market; bridge,mountainous,Cooperation; Religion--Christianity; Expansionism--Settlement; Peoples--Spanish; Historicizing; Gender--femininity; Gender--masculinity; Tranquility; Class,Santa Barbara; Mission; Historicizing; Expansionism--Settlement ,The image shows people interacting in the center of town in front of the mission. There is a variety of dress including noble people and others that seem middle class. ,,No,
7/7/2013 14:47:56,AW,The California Missions,6,6,247,The Landing of San Diego: From and old print ,n/a,n/a,drawing,,not rotated,1,Indigenous people; Spanish people; explorers/conquerers ,n/a,Spain,San Diego [California],expansion; conquering; exploring,palms,n/a,houses,n/a,Religion--Christianity; Peoples--Indigenous; Peoples--Hispanic; Expansionism--Imperialism; Race and Ethnicity; Historicizing; Storytelling; Urgency; Temporality--past,Religion--Christianity; Peoples--Indigenous; Peoples--Hispanic; Expansionism--Imperialism; San Diego,The image shows the arrival of Spanish peoples at San Diego and their interaction with Indigenous peoples. The scene is frantic and busy with a larger number of Indigenous bodies than Spanish bodies. ,,No,
7/7/2013 15:01:21,AW ,The California Missions,6,6,247,The Miracle of San Gabriel: From an old print. ,n/a,n/a,drawing,,not rotated,6,Indigenous peoples; Spanish peoples; Christian people; royalty; women; men ,San Gabriel ,the Church; Indigenous group [do we know which?] ,California,negotiations,trees; grass,cross; clothing,n/,n/a ,Religion--Christianity; Peoples--Indigenous; Peoples--Spanish; Expansionism--imperialism; Historicizing; Temporality--comparative temporalities; Interculturalism; Race and Ethnicity ,Religion--Christianity; San Gabriel; Interculturalism ,"The image shows an interaction between a group of indigenous peoples with two pictured white people. The women are seated in the background topless, and the two heads of the groups are dressed more formally than the regulars. The two groups are separate and opposed. ",,Yes,What is the miracle?
7/8/2013 17:41:00,RM,freestanding,8,2,58,The New Arcadia,Staffler,L.A. Engraving Company,photograph,,rotate,1; 2; 3; 4; 5; 6,n/a,n/a,n/a,California; Arcadia,shepherding; animal husbandry,trees; pasture; field; sheep,sheep,n/a,field; pasture; river,Cultivation--animal husbandry; nature; tranquility,Cultivation--animal husbandry; sheep; pastoralism,A landscape view of a large group of grazing sheep.,,No,
7/8/2013 18:08:18,MB,Freestanding,7,4,138,"The Cloisters of San Fernando.
Ten years ago.  See p. 150.",From painting by A. F. Harmer,Mausard-Collier Eng. Co.,Painting,?,Rotate,1; 2; 3; 4; 5; 6,farmer; herder,N/A,N/A,San Fernando,farming; herding,N/A,N/A,cloisters; ruins,N/A,Preservation--structural,cloisters; San Fernando; Preservation--structural,"This is an image of the ruins of the cloisters of San Fernando, with a couple of people in the foreground who appear to be farmers or herders.",N/A,No,N/A
7/8/2013 18:14:52,RM,The Cabana,8,2,61,Cabane on the Italian Coast,n/a,Behre Eng. Co.,photograph,,not rotate,3; 4,tourists; Italians; beachgoers,n/a,n/a,the Riviera; Italy,swimming; bathing; vacationing,n/a,n/a,cabana; awnings; ,beach; sand; ocean,Maritime culture; Leisure; Tourism; Interculturalism,cabana; tourism; beach,A photograph of a Riviera beach crowded with cabanas.,,No,
7/8/2013 20:00:47,MB,Northern California on Horseback,7,4,140,"""This might be the bronco"".",N/A,L. A. Eng. Co.,Photograph,?,Not rotate,3; 4; 5; 6,N/A,N/A,N/A,Northern California,horseback riding,bronco,N/A,bronco transportation,N/A,Location profile--region; Transportation,Bronco; Northern California; Location profile--region,A photograph of a bronco in Northern California.,N/A,No,N/A
7/8/2013 20:03:15,MB,Northern California on Horseback,7,4,141,A Siskiyou Waterfall.,N/A,Commercial Eng. Co.,Photograph,?,Not rotate,3; 4; 5; 6,N/A,N/A,N/A,Siskiyou,N/A,N/A,N/A,N/A,waterfall,Nature; Location profile--region,Siskiyou; waterfall; Location profile--region,A photograph of a waterfall in (or on the) Siskiyou.,N/A,No,N/A
7/8/2013 20:06:55,MB,Northern California on Horseback,7,4,142,In the pineries.,N/A,Commercial Eng. Co.,Photograph,?,Not rotate,3; 4,loggers,N/A,N/A,Northern California,logging,horses; trees,lumber,pineries; horse-drawn wagon,forest,Nature--exploitation; Location profile--region; Transportation,Pineries; loggers; Nature--exploitation; Northern California,"This is a photo of a pinery in Northern California, clearly showing a forest setting, loggers, and a horse-drawn wagon loaded with lumber.",N/A,No,N/A
7/8/2013 20:10:14,MB,Northern California on Horseback,7,4,143,On Petaluma Creek,N/A,L. A. Eng. Co.,Photograph,?,Not rotate,1; 2; 3; 4,N/A,N/A,N/A,Petaluma Creek; Northern California,N/A,N/A,N/A,wharf,creek,Nature; Location profile--region,Petaluma Creek; creek; wharf; Northern California,A photograph of a wharf extending out into Petaluma Creek.,N/A,No,N/A
7/8/2013 20:13:18,MB,Northern California on Horseback,7,4,143,"The ""Argonaut"" Mill.",N/A,L. A. Eng. Co.,Photograph,?,Not rotate,5; 6,N/A,N/A,"""Argonaut"" Mill",Northern California,milling,N/A,N/A,mill,N/A,Economics--business; Location profile--region,"""Argonaut"" Mill; mill; Northern California; Location profile--region","A photograph of the ""Argonaut"" Mill in Northern California.",N/A,No,N/A
7/8/2013 20:16:49,MB,Northern California on Horseback,7,4,144,An Oak Grove.,N/A,N/A,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,N/A,N/A,Northern California,N/A,oak,N/A,N/A,oak grove,Nature; Location profile--region,Oak grove; oak; Northern California; Location profile--region,A photograph of an oak grove in Northern California.,N/A,No,N/A
7/8/2013 20:21:11,MB,Northern California on Horseback,7,4,145,Winter on Chico Creek,N/A,Commercial Eng. Co.,Photograph,?,Not rotate,1; 2; 3; 4; 5; 6,N/A,N/A,N/A,Chico Creek; Northern California,N/A,trees,N/A,N/A,creek; winter,Nature; Location profile--region,Chico Creek; creek; winter; Northern California,A photograph of Chico Creek in Northern California during the winter.,N/A,No,N/A
7/8/2013 22:02:14,MB,The Centennial of San Fernando Mission.,7,4,149,The Church of San Fernando. (From breach in monastery wall.),C. F. L. 1897,L. A. Eng. Co.,Photograph,?,Not rotate,1; 2; 3; 4; 5; 6,N/A,N/A,San Fernando Mission,San Fernando Mission,N/A,N/A,N/A,San Fernando Mission; church; ruins,N/A,Preservation--structural,San Fernando Mission; Preservation-stuctural; church,"A photograph of the Church of San Fernando at the San Fernando Mission, photographed through a breach in the monastery wall.",Photo by C. F. L. 1897.,No,N/A
7/8/2013 22:05:23,MB,The Centennial of San Fernando Mission.,7,4,150,N/A,N/A,N/A,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,N/A,San Fernando Mission,San Fernando Mission,N/A,N/A,N/A,San Fernando Mission,N/A,Preservation--structural,San Fernando Mission; Preservation--structural,"What is presumably a photograph of San Fernando Mission, although there is no caption or notation of any kind (possibly due to the information being cut off by the scan).",N/A,Yes,Was the image cut off during the scanning process?  (It should be checked against a print copy.)
7/8/2013 22:11:03,MB,The Centennial of San Fernando Mission.,7,4,151,"The Breach in the Monastery.  Here the kitchen and its enormous chimneys have fallen in ruin, which threatens the whole vast building.",C. F. L.,L. A. Eng. Co.,Photograph,?,Not rotate,1; 2; 3; 4; 5; 6,N/A,N/A,San Fernando Mission,San Fernando Mission,N/A,N/A,N/A,San Fernando Mission; monastery; ruins; kitchen; chimneys,N/A,Preservation--structural,San Fernando Mission; Preservation--structural; monastery; ruins,"A photograph of the breach in the monastery at San Fernando Mission, which ""threatens the whole vast building"".",N/A,No,N/A
7/8/2013 22:14:34,MB,The Centennial of San Fernando Mission.,7,4,150,"The Ruin of Church and Cloister, 1897.
See frontispiece, and note the destruction wrought in ten years.",C. F. L.,L. A. Eng. Co.,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,N/A,San Fernando Mission,San Fernando Mission,N/A,N/A,N/A,San Fernando Mission; church; cloister; ruins,N/A,Preservation--structural,San Fernando Mission; Preservation--structural; church; cloister,A photograph of the ruins of the Church and the Cloister at the San Fernando Mission.,N/A,No,N/A
7/8/2013 22:24:11,MB,The Centennial of San Fernando Mission.,7,4,152,On the Monastery Roof.,C. F. L.,L. A. Eng. Co.,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,N/A,San Fernando Mission,San Fernando Mission,N/A,N/A,N/A,San Fernando Mission; monastery; roof,N/A,Preservation--structural; Religion--Christianity,San Fernando Mission; Preservation--structural; monastery; roof,This is a photo of the monastery roof at San Fernando Mission.,Photo by C. F. L. 1897.,No,N/A
7/9/2013 10:06:05,JH,The Artist's Paradise,6,6,232,In the Harvest-Field,D. C. McGarvis,Union Eng. Co.,Photograph,--,not rotate,3; 4; 5; 6; ,n/a,n/a,n/a,n/a,farming; harvesting; drinking;,wheat; ,wheat;,sickle; field; ,n/a,Cultivation--agriculture; Gender; Labor; ,Harvest; Cultivation--agriculture; Labor; ,A man and woman are pictured in a field of what appears to be wheat. The man rests one hand against the handle of a sickle while holding a small drinking vessel in his other hand. The woman holds a bucket (presumably of water).,,No,
7/9/2013 10:09:35,JH,The Artist's Paradise,6,6,233,"""Agua Dulce""",Jas. L. Smith,"Behre, Eng.",photograph,--,not rotate,3; 4; 5; 6;,woman; ,n/a,n/a,n/a,n/a,trees; ,n/a,n/a,trees; stream; ,nature; tranquility; ,water; drinking; nature;,A woman is pictured dipping a small vessel into a stream.,,No,
7/9/2013 10:15:32,JH,The Artist's Paradise,6,6,234,From Pine,Maude,"Behre, Eng.",photograph,--,not rotate,1; 3; ,man; ,n/a,n/a,n/a,n/a,trees; pine;,timber;,cabin; rock wall; bucket; ,trees; ,Arts--architecture; Nature--wilderness; Nature--exploitation; Tranquility; US Regionalism--West; ,Arts--architecture; pine; nature-wilderness;,A man carries a bucket while walking toward a cabin made from pine logs. Another building made from different materials and a wall of rock are included in the photograph. Trees appear in the background.,,No,
7/9/2013 10:18:49,JH,The Artist's Paradise,6,6,234,To Palm (In Ten Miles),Maude,Commercial Eng. Co.,Photograph,--,not rotate,3; 4; 5; 6; ,n/a,n/a,n/a,n/a,n/a,palm trees; ,n/a,house;,palm trees; ,Arts--architecture; Nature; tranquility;,Palm; arts--architecture; nature;,A small built structure is surrounded by palm trees in this photograph.,,No,
7/9/2013 10:23:59,JH,The Artist's Paradise,6,6,235,"A Southwestern Type (Pueblo girl of Tesuque, N. M.)",n/a,Mausard-Collier Eng.,photograph,--,not rotate,3; 4; 5; 6; ,Pueblo; indigenous peoples; ,n/a,Pueblo; ,New Mexico; ,n/a,n/a,n/a,n/a,n/a,Aesthetics; Age--youth; Arts--visual; clothing; ethnography; fetishism; gender--femininity; interculturalism; peoples--indigenous; Race and Ethnicity; US Regionalism--Southwest; ,Peoples--Indigenous; Pueblo; US Regionalism--Southwest;,"This photograph is a portrait of an unnamed Pueblo girl from Tesuque, New Mexico. She is wearing traditional clothing and jewelry.",,,
7/9/2013 10:27:37,JH,The Artist's Paradise,6,6,236,"In Cataract Canyon, A. T.","Osborn, Flagstaff",Mausard-Collier Eng. Co.,photograph,--,rotate,3; 4; 5; 6; ,n/a,n/a,n/a,Cataract Canyon; Flagstaff;,n/a,trees;,n/a,n/a,waterfall; canyon; mountains; trees;,Nature--wilderness; aesthetics; ,waterfall; Cataract Canyon; Nature--wilderness;,"A large waterfall is pictured, surrounded by mountains and trees. ",,No,
7/9/2013 10:31:39,JH,The Artist's Paradise,6,6,237,A Spanish Rancho,C. F. L.,Union Eng. Co.,photograph,--,not rotate,2; 4; ,Spanish;,n/a,Spanish; ,n/a,n/a,trees; ,n/a,rancho; house;,trees;,Arts--architecture; Cultivation; Ethnography; Peoples--Hispanic; ,Rancho; Spanish; Peoples--Hispanic; ,What appears to be a house is pictured surrounded by sparse vegetation. A tree appears in the background.,,No,
